ingredient_id,name,category,temperature,taste,target_organs,element_action,role,note
I069,コショウ,スパイス類,熱,辛,脾,補熱,サポート,コショウは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、おなかを温めて寒さをやわらげる、たんを取る、 / 解毒、胃の働きを助ける、痛みを抑えるなど
I070,小松菜,野菜・ハーブ類,温,"甘,辛","肺,腎",補水,サポート,水を補うほか、呼吸器の働きを助けてせきを抑える、 / 腸を潤して便通をよくするなど
I071,小麦,穀類,涼,甘,脾,清熱,メイン,熱を取るほか、精神を安定させる、胃腸の働きを助けるなど
I072,コンニャク,その他,寒,"甘,辛","肝,心",清熱,サポート,熱を取るほか、解毒、はれものを抑える、便通をよくするなど
I073,昆布,魚介類,寒,鹹,"肝,脾,肺,腎","巡水,巡血",メイン,たんを取る、しこりを抑える、水を巡らせる、 / はれものを抑えるなど
I074,サクランボ,フルーツ類,温,甘,脾,"巡水,補水,補気",サポート,余分な水分を取る、胃腸の気を補う、肌に潤いを与えるなど
I075,ザクロ,フルーツ類,温,"甘,酸","肺,腎",補水,サポート,水を補う、口の渇きを抑える、下痢を抑える、せきを抑えるなど
I076,サケ,魚介類,温,甘,脾,補熱,メイン,サケは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、気を補う、血を補う、胃腸の働きを助けて / 温めるなど
I077,酒,その他,温,"甘,苦,辛","肝,脾,肺","巡血,巡気",サポート,気を巡らせる、血を巡らせる、寒さをやわらげて痛みを抑えるなど / （料理の材料として少量を用いる場合）
I078,サツマイモ,野菜・ハーブ類,平,甘,脾,補気,サポート,気を補うほか、胃腸の働きを助ける、腸を潤して便通をよくする、 / 母乳の分泌を助けるなど
I079,サトイモ,野菜・ハーブ類,平,"甘,辛",脾,巡血,サポート,たんを取る、しこりを抑える、はれものを抑える、 / 胃の働きを助けるなど
I080,サバ,魚介類,平,甘,脾,補気,メイン,気を補うほか、余分な水を取る、 / 胃腸と呼吸器の働きを助けるなど
I081,ザボン,フルーツ類,寒,"甘,酸",脾,巡気,サポート,気を巡らせるほか、胃腸の働きを助けて消化不良を改善する、 / せきを抑える、飲みすぎの症状をやわらげる、たんを取るなど
I082,山査子（さんざし）,薬膳特有の食材,温,"甘,酸",脾,"巡血,補気",メイン,胃の働きを助けて消化不良を改善する、血を巡らせるなど / 【禁忌】食べ過ぎると気を消耗するので注意する
I083,シイタケ、キノコ類,野菜・ハーブ類,平,甘,脾,補気,サポート,シメジ、エノキダケ、エリンギ、マイタケなどのキノコ類は / 基本的に同じ性質と考える / 胃の気を補う、出血を抑えるなど
I084,塩,その他,寒,鹹,"肝,心",清熱,サポート,熱を取る、解毒など
I085,シジミ,魚介類,寒,"甘,鹹","肝,心",清熱,メイン,熱を取るほか、解毒、余分な水分を取るなど
I086,シソ,野菜・ハーブ類,温,辛,脾,"巡気,補熱",サポート,体を温めて発汗を促す、寒さをやわらげる、 / 胃腸の気を巡らせるなど
I087,シナモン,スパイス類,平,"甘,辛","脾,腎",補熱,サポート,シナモンは「熱を補う食材」のうちの「温裏類」に分類される / 大熱＝特に強い熱性である「大熱性（だいねつせい）」をさす / 体を強く温める、寒さをやわらげて痛みを抑えるなど
I088,ジャガイモ,野菜・ハーブ類,平,甘,脾,補気,サポート,気を補うほか、胃腸の調子を整える、痛みを抑える、 / 便通をよくするなど
I089,ジャスミン,薬膳特有の食材,温,"甘,苦,辛",脾,巡気,メイン,気を巡らせるほか、胃腸の調子を整えるなど
I090,春菊,野菜・ハーブ類,平,"甘,辛",脾,補気,サポート,たんを取る、胃腸の働きを助けるなど
I091,じゅんさい,野菜・ハーブ類,寒,甘,"肝,心",清熱,サポート,熱を取るほか、解毒、吐き気を抑える、水を巡らせる、 / はれものを抑えるなど
I092,ショウガ,野菜・ハーブ類,温,辛,脾,"補熱,補水",サポート,体を温めて発汗を促す、胃を温めて吐き気を抑える、 / 呼吸器を温めてせきを抑えるなど
I093,しょうゆ,その他,寒,鹹,"肝,心",清熱,サポート,熱を取る、解毒など
I094,シラウオ,魚介類,平,甘,脾,巡水,メイン,水を巡らせるほか、消化不良を改善する、 / 胃腸の調子を整える、呼吸器を潤すなど
I095,白キクラゲ,薬膳特有の食材,平,甘,"肺,腎",補水,メイン,銀耳（ぎんじ）とも呼ばれる食材 / 水を補うほか、呼吸器を潤すなど
I096,白ゴマ,ナッツ類,平,甘,"肺,腎",補水,サポート,腸や皮膚を潤す
I097,酢,その他,温,"苦,酸",肝,巡血,サポート,血を巡らせるほか、出血を抑える、消化不良を改善する、 / はれものを抑える、しこりを抑える、解毒など
I098,スイカ,フルーツ類,寒,甘,"肝,心",清熱,サポート,熱を取るほか、暑さをやわらげる、口の渇きを抑える、 / 排尿を促すなど
I099,スズキ,魚介類,平,甘,脾,補気,メイン,気を補うほか、胃腸の働きを助ける、消化不良を改善する、 / せきを抑える、たんを取るなど
I100,スターフルーツ,フルーツ類,温,"甘,酸","肺,腎",補水,サポート,水を補う、口の渇きを抑える、下痢を抑えるなど
I101,ズッキーニ,野菜・ハーブ類,寒,甘,"肝,心",清熱,サポート,熱を取るほか、水を補う、呼吸器を潤す、 / はれものを抑える、排尿を促すなど
I102,スッポン,魚介類,平,甘,"肺,腎",補水,メイン,水を補うほか、血にこもった熱を取る、 / 虚弱を補って下痢を抑えるなど
I103,スモモ,フルーツ類,平,"甘,苦,酸","脾,肺,腎",巡水,サポート,水を巡らせるほか、水を補う、熱を取るなど
I104,セロリ,野菜・ハーブ類,涼,"甘,辛","肝,心",清熱,サポート,熱を取るほか、排尿を促す、出血を抑えるなど
I105,ソバ,穀類,涼,甘,脾,巡気,メイン,気を巡らせるほか、胃腸の調子を整える、 / 消化不良を改善するなど
I106,空豆,野菜・ハーブ類,平,甘,脾,巡水,サポート,水を巡らせるほか、胃腸の働きを助ける、胃腸の気を補うなど
I107,ターメリック,スパイス類,温,"苦,辛",肝,巡血,サポート,血を巡らせるほか、気を巡らせる、痛みを抑えるなど
I108,大根,野菜・ハーブ類,涼,"甘,辛",脾,"巡血,補気",サポート,気の巡りをよくして消化不良を改善する、胃腸の調子を整える、 / 熱のこもったたんを取る、血を巡らせて出血を抑えるなど
I109,大豆・枝豆,野菜・ハーブ類,平,甘,脾,巡水,サポート,枝豆は未成熟の大豆を収穫したもの / 水を巡らせるほか、胃腸の働きを助ける、排尿を促す、 / 乾燥を潤すなど
I110,ダイダイ,フルーツ類,温,"苦,辛,酸","肝,脾,肺",巡気,サポート,気を巡らせるほか、たんを取る、消化不良を改善するなど
I111,タケノコ,野菜・ハーブ類,寒,"甘,苦","肝,心",清熱,サポート,熱を取ってたんを取る、解毒、便通をよくするなど
I112,タコ,魚介類,寒,"甘,鹹","肝,心",補血,メイン,血を補うほか、気を補う、水を補うなど
I113,タチウオ,魚介類,温,"甘,鹹",脾,補気,メイン,気を補うほか、胃腸の調子を整えるなど
I114,タマゴ,その他,平,甘,"肺,腎",補水,サポート,水を補うほか、のどの調子を整える、血を補う、 / 精神を安定させるなど / ※卵白は涼性、卵黄は平性
I115,タマネギ,野菜・ハーブ類,温,"甘,辛",脾,巡気,サポート,気を巡らせるほか、胃腸の働きを助ける、 / 消化不良を改善するなど
I116,タラ,魚介類,平,鹹,"脾,肺",補気,メイン,気を補うほか、血を補うなど
I117,チーズ,その他,平,"甘,酸","肺,腎",補水,サポート,水を補うほか、呼吸器の働きを助ける、口の渇きを抑える、 / 腸を潤すなど
I118,茶葉,その他,涼,"甘,苦","肝,心",清熱,サポート,熱を取るほか、水を補って口の渇きを抑える、解毒、 / 排尿を促して余分な水分を取る、消化不良を改善する、 / 下痢を抑えるなど
I119,チンゲンサイ,野菜・ハーブ類,涼,"甘,辛",肝,巡血,サポート,血を巡らせるほか、熱を取る、はれものを抑える、解毒など
I120,陳皮（ちんぴ）,薬膳特有の食材,温,"苦,辛",脾,巡気,メイン,ミカンの皮を乾燥させた食材 / 気を巡らせるほか、余分な水分を取る、胃腸の調子を整える、 / たんを取るなど
I121,トウガラシ,スパイス類,熱,辛,脾,補熱,サポート,トウガラシは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、おなかを温めて寒さをやわらげる、 / 胃腸の働きを助けて消化不良を改善するなど
I122,冬瓜,野菜・ハーブ類,涼,甘,"脾,肺,腎",巡水,サポート,水を巡らせるほか、熱を取る、はれものを抑える、解毒、 / 水を補うなど
I123,豆乳,その他,平,甘,"脾,肺,腎","巡水,補水",サポート,たんを取る、呼吸器を潤す、排尿を促す、便通を促すなど
I124,豆腐,その他,寒,甘,脾,清熱,サポート,熱を取るほか、解毒、胃腸の気を補う、水を補うなど
I125,トウモロコシ,野菜・ハーブ類,平,甘,脾,巡水,サポート,水を巡らせるほか、熱を取る、胃腸の働きを助ける、 / 呼吸器を助ける、排尿を促すなど
I126,トウモロコシのひげ,薬膳特有の食材,平,甘,"脾,肺,腎",巡水,メイン,トウモロコシのひげ茶などで用いられる食材 / 水を巡らせるほか、はれものを抑える、熱を取るなど
I127,ドクダミ,薬膳特有の食材,寒,辛,"肝,心",清熱,メイン,熱を取るほか、解毒、うみを取る、排尿を促すなど
I128,ドジョウ,魚介類,平,甘,脾,補気,メイン,胃腸の気を補う、余分な水分を取る、熱を取るなど
I129,杜仲（とちゅう）,薬膳特有の食材,温,甘,"脾,腎",補熱,メイン,杜仲は「熱を補う食材」のうちの「補陽類」に分類される / 熱を補うほか、足腰の冷えをやわらげる、骨や筋肉を強くするなど
I130,トマト,野菜・ハーブ類,寒,"甘,酸",脾,清熱,サポート,熱を取るほか、解毒、水を補って口の渇きを抑える、 / 胃の働きを助けて消化不良を改善するなど
I131,鶏肉,肉類,温,甘,脾,補気,メイン,気を補うほか、おなかを温める、胃腸の働きを助ける、 / 血を補うなど
I132,豚足,肉類,平,"甘,鹹","肝,心",補血,メイン,血を補うほか、母乳の分泌を助けるなど
I133,トンブリ,野菜・ハーブ類,寒,"苦,辛","脾,肺,腎",巡水,サポート,水を巡らせるほか、排尿を促す、熱を取る、かゆみを抑える / など
I134,ナガイモ,野菜・ハーブ類,平,甘,脾,補気,サポート,気を補うほか、胃腸の調子を整える、水を補う、 / 呼吸器の働きを助けるなど
I135,梨,フルーツ類,涼,"甘,酸","肝,心,肺,腎","清熱,補水",サポート,熱を取ってたんを取る、水を補うなど
I136,ナス,野菜・ハーブ類,涼,甘,脾,"清熱,巡水,巡血",サポート,熱を取る、血を巡らせる、出血を抑える、 / 排尿を促してはれものを抑える、胃腸の調子を整えるなど
I137,ナツメ,薬膳特有の食材,温,甘,脾,補気,メイン,胃腸の気を補う、血を補う、水を補う、精神を安定させる、 / 胃腸の働きを助けるなど
I138,ナツメグ,スパイス類,温,辛,"肝,脾,肺,腎","巡気,補熱",サポート,下痢を抑える、おなかを温めて気を巡らせるなど
I139,ナマコ,魚介類,温,鹹,脾,補熱,メイン,ナマコは「熱を補う食材」のうちの「補陽類」に分類される / 熱を補うほか、血を補う、乾燥を潤す、出血を抑える、 / 胃の働きを助けて口の渇きを抑えるなど
I140,ナマズ,魚介類,温,甘,"脾,肺",補気,メイン,気を補うほか、水を補う、虚弱を補う、排尿を促すなど
I141,ニガウリ,野菜・ハーブ類,寒,苦,"肝,心",清熱,サポート,熱を取るほか、暑さをやわらげる、口の渇きを抑える、 / 目の働きを助ける、解毒など
I142,ニラ,野菜・ハーブ類,温,辛,"脾,腎",補熱,サポート,ニラは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、解毒、血を巡らせる、冷えによる痛みを抑える / など
I143,ニンジン,野菜・ハーブ類,平,"甘,苦",脾,補血,サポート,血を補うほか、目を潤して働きを助ける、 / 呼吸器の働きを助けてせきを抑える、 / 胃腸の働きを助けて消化不良を改善するなど
I144,ニンニク,野菜・ハーブ類,温,"甘,辛",脾,"清熱,補熱",サポート,胃の働きを助ける、下痢を抑える、温めて冷えをやわらげる、 / せきを抑えてたんを取る、解毒、はれものを抑える、 / うみを出してかゆみを抑えるなど
I145,ネギ,野菜・ハーブ類,温,辛,"肝,心,脾,腎","清熱,補熱",サポート,体を温めて発汗を促す、寒さをやわらげる、解毒など
I146,海苔,魚介類,寒,"甘,鹹","肝,心,脾,肺,腎","清熱,巡水,巡血,補水",メイン,たんを取る、しこりを抑える、熱を取る、排尿を促す、 / せきを抑えるなど
I147,パイナップル,フルーツ類,平,"甘,酸",脾,"清熱,巡水,補水,補気",サポート,熱を取る、便通をよくする、下痢を抑える、暑さをやわらげる、 / 暑さによるのどの渇きをやわらげる、胃腸の調子を整える、 / 消化不良を改善する、はれものを抑える、余分な水分を取るなど
I148,白菜,野菜・ハーブ類,平,甘,脾,清熱,サポート,熱を取るほか、胃腸の働きを助ける、排尿を促すなど
I149,白砂糖,その他,平,甘,脾,"補水,補気",サポート,呼吸器を潤す、胃腸の気を補うなど
I150,パクチー（香菜）,野菜・ハーブ類,温,辛,"脾,肺,腎","補熱,補気",サポート,体を温めて発汗を促す、消化不良を改善するなど
I151,ハスの実,薬膳特有の食材,平,甘,脾,補気,メイン,胃腸の働きを補って下痢を抑える、精神を安定させるなど
I152,ハチミツ,その他,平,甘,脾,補気,サポート,気を補うほか、胃腸の働きを助ける、 / 呼吸器を潤してせきを抑える、腸を潤して便通をよくする、 / 痛みを抑える、解毒など
I153,ハトムギ,薬膳特有の食材,寒,甘,脾,巡水,メイン,水を巡らせるほか、はれものを抑える、 / 胃腸の働きを助けて下痢を抑える、熱を取る、うみを出すなど / 【禁忌】妊娠中は注意する
I154,バナナ,フルーツ類,寒,甘,"肝,心",清熱,サポート,熱を取るほか、腸を潤す、解毒、痛みを抑えるなど
I155,馬肉,肉類,寒,"甘,酸","肺,腎",補水,メイン,水を補うほか、熱を取る、筋肉や骨を強くするなど
I156,パプリカ,野菜・ハーブ類,熱,辛,脾,補熱,サポート,パプリカは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、おなかを温めて寒さをやわらげる、 / 胃腸の働きを助けて消化不良を改善するなど
I157,ハマグリ,魚介類,寒,"甘,鹹","脾,肺,腎",巡水,メイン,水を巡らせるほか、水を補う、たんを取る、 / しこりを抑えるなど
I158,ハム,肉類,温,鹹,脾,補気,メイン,気を補うほか、胃腸の調子を整える、血を補う、水を補う、 / 下痢を抑えるなど
I159,ハモ,魚介類,寒,甘,脾,巡水,メイン,水を巡らせるほか、胃腸の働きを助ける、 / 目の働きを助けるなど
I160,ピーナッツ,ナッツ類,平,甘,脾,補血,サポート,血を補うほか、胃腸の働きを助けて出血を抑える、 / 呼吸器を潤してせきを抑える、吐き気を抑える、排尿を促す、 / 母乳の分泌を助けるなど
I161,ピーマン,野菜・ハーブ類,熱,辛,脾,補熱,サポート,ピーマンは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、おなかを温めて寒さをやわらげる、 / 胃腸の働きを助けて消化不良を改善するなど
I162,羊肉,肉類,温,甘,"脾,腎",補熱,メイン,羊肉は「熱を補う食材」のうちの「補陽類」に分類される / 熱を補うほか、気を補って虚弱を補う、下腹部を温めるなど
I163,ひまわりの種,ナッツ類,平,甘,"肺,腎",補水,サポート,水を補うほか、下痢を抑えるなど
I164,ビワ,フルーツ類,涼,"甘,酸","肺,腎",補水,サポート,呼吸器を潤す、たんを取る、せきを抑える、 / 水を補って口の渇きを抑える、吐き気を抑えるなど
I165,フェンネル,スパイス類,温,辛,脾,補熱,サポート,フェンネルは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、寒さをやわらげる、気を巡らせて痛みを抑える、 / 胃の働きを助けて吐き気を抑えるなど
I166,フグ,魚介類,温,甘,"脾,肺,腎",巡水,メイン,水を巡らせるほか、虚弱を補うなど
I167,豚肉,肉類,平,"甘,鹹","肺,腎",補水,メイン,水を補うほか、気を補うなど
I168,豚の胃袋,肉類,温,甘,脾,補気,メイン,気を補うほか、胃腸の働きを助ける、口の渇きを抑えるなど
I169,豚のハツ,肉類,平,"甘,鹹",心,補血,メイン,血を補うほか、心臓の働きを助ける、 / 精神を安定させるなど
I170,豚の骨,肉類,平,鹹,"脾,肺",補気,メイン,気を補うほか、骨を強くする、口の渇きを抑える、解毒など
I171,豚レバー,肉類,温,"甘,苦","肝,心",補血,メイン,血を補うほか、目の働きを助けるなど / 鶏レバーにも同様の性質がある
I172,ブドウ,フルーツ類,平,"甘,酸","肝,心",補血,サポート,血を補うほか、気を補う、骨や筋肉を強くする、排尿を促す、 / 口の渇きを抑えるなど
I173,ブロッコリー,野菜・ハーブ類,平,甘,脾,補気,サポート,気を補うほか、胃腸の調子を整える、 / 脳の働きを補うなど
I174,ヘーゼルナッツ,ナッツ類,平,甘,脾,"補水,補気",サポート,胃腸の調子を整える、目の働きを助ける、乾燥を潤す、 / 消化不良を改善するなど
I175,ホウレンソウ,野菜・ハーブ類,涼,甘,"肝,心",補血,サポート,血を補うほか、出血を抑える、水を補う、熱を取る、 / 目の働きを助ける、便通をよくするなど
I176,ホタテ,魚介類,平,"甘,鹹",脾,補水,メイン,水を補うほか、胃腸の調子を整えるなど
I177,マイカイカ（玫瑰花）,薬膳特有の食材,温,"甘,苦","肝,脾,肺",巡気,メイン,ハマナスの花を乾燥させた食材で、バラ茶などに用いられる / 気を巡らせるほか、血を巡らせる、痛みを抑えるなど
